Description,Category
illegal construction @ school blocking road access.,Development Authority
Broken road divider at Highway creating risk for vehicles.,Public Works Department
Illegal construction at Temple blocking road access.,Development Authority
"Road divider missing near Market, causing accidents.",Transport
Building being constructed without permission near Bus Stand.,Development Authority
Public nuisance by drunk people at Market.,Police
Garbage not collected for 10 days near Park.,Municipal
Public toilet at Hospital is dirty and broken.,Municipal
Garbage not collected for 9 days near School.,Municipal
Chain snatching reported yesterday near Market.,Police
Repeated complaints ignored by department.,CM Office (Miscellaneous)
Grievance No. CM9507 pending without update.,CM Office (Miscellaneous)
Unauthorized shops set up near Park.,Development Authority
Stray dogs attacking people near Colony.,Municipal
Still waiting for action on request raised 2 days ago.,CM Office (Miscellaneous)
Unauthorized shops set up near Colony. pls do something asap!,Development Authority
Newly constructed footpath at Highway already broken.,Public Works Department
suspicious activities happening around main road every night.,Police
Chain snatching reported yesterday near School.,Police
Street repair left incomplete at Temple.,Public Works Department
Public nuisance by drunk people at Highway.,Police
Public nuisance by drunk people at Bus Stand.,Police
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
repe@ed complaints ignored by department.,CM Office (Miscellaneous)
Dumping of debris on open land near Metro Station.,Development Authority
"Road divider missing near Market, causing accidents.",Transport
"Loud music playing late night at Metro Station, no action taken. pls do something asap!",Police
Cement road at Highway cracked within a week of repair.,Public Works Department
"Streetlight not working in Market, unsafe at night.",Municipal
Garbage not collected for 9 days near Metro Station.,Municipal
"Theft occurred at Park, no police arrived yet.",Police
Traffic signal malfunctioning near Highway.,Transport
Filed complaint weeks ago but no response received.,CM Office (Miscellaneous)
Officials not responding to grievance at Metro Station.,CM Office (Miscellaneous)
Garbage not collected for 7 days near Colony.,Municipal
Overhead bridge construction delayed near Hospital.,Public Works Department
No sanitation workers seen for a week at Main Road.,Municipal
Street repair left incomplete at Hospital.,Public Works Department
"Loud music playing late night at School, no action taken.",Police
"Burglary reported at Market, no investigation done.",Police
Officials not responding to grievance at School.,CM Office (Miscellaneous)
Unauthorized shops set up near Temple.,Development Authority
Stray dogs attacking people near Metro Station.,Municipal
Grievance No. CM8645 pending without update.,CM Office (Miscellaneous)
Footpath tiles uneven and dangerous near School. pls do something asap!,Public Works Department
stray dogs @tacking people n temple.,Municipal
Newly constructed footpath at Temple already broken.,Public Works Department
no sanit@ion workers seen fr a week @ colony.,Municipal
Unauthorized shops set up near Park.,Development Authority
Land dispute reported at Main Road.,Development Authority
No sanitation workers seen for a week at Temple.,Municipal
Dumping of debris on open land near Park.,Development Authority
"Drainage overflow at Colony, foul smell everywhere.",Municipal
"Drainage overflow at Market, foul smell everywhere. pls do something asap!",Municipal
Still waiting for action on request raised 8 days ago.,CM Office (Miscellaneous)
Plot boundaries changed illegally near Highway.,Development Authority
Grievance No. CM4957 pending without update.,CM Office (Miscellaneous)
Drainage blocked near Highway causing flooding.,Public Works Department
Encroachment on government land near Park.,Development Authority
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Frequent delays in public buses at Main Road.,Transport
Broken road divider at Market creating risk for vehicles.,Public Works Department
"road divider missing n school, causing accidents.",Transport
footp@h tiles uneven and dangerous n park.,Public Works Department
Dumping of debris on open land near Highway.,Development Authority
Broken road divider at Market creating risk for vehicles.,Public Works Department
Officials not responding to grievance at Market.,CM Office (Miscellaneous)
"Loud music playing late night at Metro Station, no action taken.",Police
Dumping of debris on open land near School.,Development Authority
Public toilet at School is dirty and broken.,Municipal
Heavy vehicles blocking main road near Metro Station.,Transport
Grievance No. CM4420 pending without update.,CM Office (Miscellaneous)
Encroachment on government land near Hospital.,Development Authority
Stray dogs attacking people near Main Road.,Municipal
Stray dogs attacking people near Hospital.,Municipal
open manhole causing danger n temple. pls do something asap!,Municipal
Bus stop shelter at Hospital damaged and unsafe.,Transport
No sanitation workers seen for a week at Highway. pls do something asap!,Municipal
Traffic signal malfunctioning near Highway.,Transport
officials not responding to grievance @ school.,CM Office (Miscellaneous)
Water supply disrupted since 4 days in Main Road.,Municipal
Heavy vehicles blocking main road near Market.,Transport
Footpath tiles uneven and dangerous near Main Road.,Public Works Department
"Streetlight not working in Temple, unsafe at night.",Municipal
Suspicious activities happening around Bus Stand every night. pls do something asap!,Police
public nuisance by drunk people @ market.,Police
Unauthorized shops set up near Temple.,Development Authority
overhead bridge construction delayed n school.,Public Works Department
Land dispute reported at Colony.,Development Authority
No acknowledgment received for complaint submitted last week.,CM Office (Miscellaneous)
Plot boundaries changed illegally near Colony.,Development Authority
Group of men harassing women near Market.,Police
Buses not stopping at Main Road despite schedule.,Transport
Traffic signal malfunctioning near Park.,Transport
Auto drivers overcharging passengers near Main Road.,Transport
Traffic signal malfunctioning near Market. pls do something asap!,Transport
officials not responding to grievance @ metro st@ion.,CM Office (Miscellaneous)
Grievance No. CM3630 pending without update.,CM Office (Miscellaneous)
Online complaint portal not working for several days.,CM Office (Miscellaneous)
