Description,Category
"Unfair practices in local department reported, please look into it. kindly look into this.",CM Office (Miscellaneous)
Public dustbins overflowing and not cleaned.,Municipal
Building without proper permission in Central Avenue. request urgent action.,Development Authority
Pedestrian crossing signal not working at main road. request urgent action.,Transport
Government office not responding to complaints. kindly look into this.,CM Office (Miscellaneous)
Staff behavior rude and unhelpful in office. facing issues since last week.,CM Office (Miscellaneous)
Bus shelter at Central Avenue broken and unsafe. facing issues since last week.,Transport
Waste dumped on roadside in XYZ Nagar. situation getting worse.,Municipal
Unhygienic conditions near market in Green Park. facing issues since last week.,Municipal
Culvert repair pending at Old City. request urgent action.,Public Works Department
Signal at bus depot not functioning properly causing accidents. request urgent action.,Transport
Stray dogs attacking people in Green Park. facing issues since last week.,Municipal
Chain snatching reported near city mall. Please take action. request urgent action.,Police
Bus route 73 not running on time for several days. request urgent action.,Transport
Government office not responding to complaints. needs immediate attention.,CM Office (Miscellaneous)
Water stagnation near railway station due to poor drainage. situation getting worse.,Public Works Department
Complaint regarding layout approval delay. facing issues since last week.,Development Authority
Flyover construction delay leading to congestion. facing issues since last week.,Transport
Need urgent help regarding electricity bill issue. please resolve soon.,CM Office (Miscellaneous)
Poor road markings making driving difficult. please resolve soon.,Transport
Illegal gambling happening behind city mall. facing issues since last week.,Police
Unauthorized shops operating near bus depot. request urgent action.,Development Authority
Road full of potholes at bus stop. facing issues since last week.,Public Works Department
Signal at junction not functioning properly causing accidents. needs immediate attention.,Transport
Robbery incident reported near hospital. needs immediate attention.,Police
There is frequent eve teasing near the temple. facing issues since last week.,Police
Pedestrian crossing signal not working at bus stop. please resolve soon.,Transport
"Footpath broken near XYZ Nagar, pedestrians facing issues. needs immediate attention.",Public Works Department
Poor road markings making driving difficult. request urgent action.,Transport
Construction debris dumped near ABC Colony. please resolve soon.,Development Authority
Government office not responding to complaints. situation getting worse.,CM Office (Miscellaneous)
Streetlights not working since last week in MG Road. needs immediate attention.,Municipal
Drainage overflow causing bad smell near temple. situation getting worse.,Municipal
Road full of potholes at hospital. facing issues since last week.,Public Works Department
Flyover construction delay leading to congestion. situation getting worse.,Transport
Water stagnation near hospital due to poor drainage. request urgent action.,Public Works Department
Bridge under repair for months at petrol bunk. kindly look into this.,Public Works Department
Citizen grievance unresolved despite repeated attempts. situation getting worse.,CM Office (Miscellaneous)
Bus route 89 not running on time for several days. kindly look into this.,Transport
Unhygienic conditions near market in MG Road. kindly look into this.,Municipal
Plot disputes not being resolved on time. situation getting worse.,Development Authority
Fogging not done properly leading to mosquito menace.,Municipal
No proper communication from officials on issue raised. request urgent action.,CM Office (Miscellaneous)
New road construction delayed at Green Park. needs immediate attention.,Public Works Department
Illegal gambling happening behind petrol bunk. needs immediate attention.,Police
Water stagnation near market area due to poor drainage.,Public Works Department
Broken divider near community hall causing jams. needs immediate attention.,Transport
Garbage not collected in Green Park for several days.,Municipal
